FECHA,EVAP,PREC,TMAX,TMIN
01/01/2005,0,2.3,24,2.5
02/01/2005,0,2.3,24,4.5
03/01/2005,0,2.7,25,5
04/01/2005,0,0.7,25.5,5
05/01/2005,0,4.6,24,5
06/01/2005,0,2.9,24.5,5.5
07/01/2005,0,2.6,24,5.5
08/01/2005,0,2.5,23,5.5
09/01/2005,0,1.7,22,5.5
10/01/2005,0,2.1,21,5.5
11/01/2005,0,3.2,21,4.5
12/01/2005,0,1.6,23,4
13/01/2005,0,2.6,23,5.5
14/01/2005,0,1.8,21,6.5
15/01/2005,0,2.2,22,7
16/01/2005,0,2.6,18,4
17/01/2005,0,1.9,18.5,0.5
18/01/2005,0,1.9,20,0.5
19/01/2005,0,1.8,18.5,2
20/01/2005,0,2,20.5,2
21/01/2005,0,2.1,21.5,5.5
22/01/2005,1.9,1.4,21,5
23/01/2005,0,9,14,9
24/01/2005,0,3.7,21.5,6
25/01/2005,0,1.8,23,6
26/01/2005,0,2.8,24.5,7.5
27/01/2005,0,2.4,27,6.5
28/01/2005,0,4,22.5,7
29/01/2005,0,3.8,27,8
30/01/2005,6.7,3.1,27,8
31/01/2005,0,3,23,7.5
01/02/2005,0,3,24.5,8
02/02/2005,0,3.7,23,7.5
03/02/2005,0,3.4,23,7.5
04/02/2005,0,4,23.5,6.5
05/02/2005,0,2.6,21,5.5
06/02/2005,0,3,24,5.5
07/02/2005,2,3.3,28,7
08/02/2005,0,2.4,28,7
09/02/2005,0,3.9,29,9
10/02/2005,0,1.2,26,8.5
11/02/2005,0,3.6,26,6.5
12/02/2005,0,3.1,27,6
13/02/2005,0,3,26.5,6.5
14/02/2005,0,3.5,26,9.5
15/02/2005,0,2.7,24,9
16/02/2005,0,4.5,28,7.5
17/02/2005,0,3.4,26.5,7.5
18/02/2005,0,2.9,24,7
19/02/2005,0,3,25,7
20/02/2005,0,3,26.5,7.5
21/02/2005,0,3.7,26,8
22/02/2005,0,3.3,26.5,9.5
23/02/2005,1.4,2.2,23.5,9.5
24/02/2005,7,1.4,22.5,9
25/02/2005,0,3.5,23.5,6.5
26/02/2005,0,3.8,22,6.5
27/02/2005,0,3.8,24,9.5
28/02/2005,0,3.7,24,8
01/03/2005,0,4.9,27,7
02/03/2005,0,2.7,26,7
03/03/2005,0,4.1,27,9
04/03/2005,0,3.8,27.5,7.5
05/03/2005,0,3,26,7.5
06/03/2005,0,3.1,22,9
07/03/2005,0,2.3,24,6.5
08/03/2005,0,5.2,26.5,0.5
09/03/2005,0,5.1,26,1.5
10/03/2005,0,3,25,7
11/03/2005,0,3.9,29,7.5
12/03/2005,0,4.3,23,6.5
13/03/2005,0,4,28,6.5
14/03/2005,0.6,3.4,26.5,0.5
15/03/2005,0,1.5,19,2.5
16/03/2005,0,3.8,24,1.5
17/03/2005,0,4.9,26.5,10
18/03/2005,0,4.1,24,7
19/03/2005,0,3.9,30,7
20/03/2005,0,4.8,30.5,7
21/03/2005,0,4.6,25,8
22/03/2005,0,4.6,31,9
23/03/2005,0,4.6,31,8
24/03/2005,0,5,32,8
25/03/2005,0,2.6,29.5,8.5
26/03/2005,0,3.8,30.5,10
27/03/2005,0,5.4,28.5,9.5
28/03/2005,0,5,28.5,9
29/03/2005,0,3.7,27.5,9.5
30/03/2005,0,3.8,28.5,10
31/03/2005,0,4.7,30,11
01/04/2005,0,2.3,30,10
02/04/2005,0,2.8,26,7.5
03/04/2005,0,4.5,31,8
04/04/2005,0,4.1,31.5,9
05/04/2005,0.8,4.7,31,12
06/04/2005,0,4.5,31,2.5
07/04/2005,0,4.6,28.5,12
08/04/2005,2.2,5.1,31,12
09/04/2005,0,2.6,29.5,1.5
10/04/2005,0,5.9,29.5,12
11/04/2005,0,5.2,33,12
12/04/2005,0,3.9,31,1.5
13/04/2005,0,4,31,10
14/04/2005,2.6,4.5,30.5,11
15/04/2005,3,4,27,13
16/04/2005,1.1,3.2,28,10
17/04/2005,0,3.9,29,9.5
18/04/2005,0,4.2,30,9.5
19/04/2005,0,3.6,29.5,1.5
20/04/2005,0,4.8,30,12
21/04/2005,0,4.2,31,4.5
22/04/2005,0,5.1,31.5,14
23/04/2005,0.6,2.9,27.5,14
24/04/2005,0,4.6,31,12
25/04/2005,0,6.4,31.5,2.5
26/04/2005,0,5.4,32.5,1.5
27/04/2005,0,4.3,32,1.5
28/04/2005,0,4.2,31.5,14
29/04/2005,0,5.8,32,4.5
30/04/2005,0,4.9,32.5,4.5
01/05/2005,1.6,7.4,32,14
02/05/2005,1.9,8.3,30,13
03/05/2005,0,10,30,12
04/05/2005,0,9.4,30,9.5
05/05/2005,1,7.2,28.5,11
06/05/2005,0,7.1,27.5,10
07/05/2005,0,5.5,27,0.5
08/05/2005,0,6.3,27.5,12
09/05/2005,0.5,7.7,29.9,7
10/05/2005,0,8.2,30,7.5
11/05/2005,0.1,6.2,28.5,0.5
12/05/2005,0,8.4,27,11
13/05/2005,0,8,28,10
14/05/2005,0.7,4.7,26.5,7.5
15/05/2005,0,6.4,28,12
16/05/2005,0,8.7,28,9.5
17/05/2005,0,7.8,27.5,9
